athlete_id,full_name,sex,birth_year,height,weight,score,date_valid_from,date_valid_to,status,sid
154,Khadija Abbouda,F,1968,165.0,57.0,5,2022-06-11 00:00:00,9999-12-31,1,60
155,Mohamed Ibrahim Abd El-Fatah Mohamed,M,1978,185.0,98.0,4,2022-06-11 00:00:00,9999-12-31,1,61
156,Mahmoud Abd El-Kader,M,1985,195.0,94.0,3,2022-06-11 00:00:00,9999-12-31,1,62
157,Mohamed Ibrahim Abd El-Salam,M,1982,192.0,83.0,1,2022-06-11 00:00:00,9999-12-31,1,63
158,Noha Abd Rabo,F,1987,,,3,2022-06-11 00:00:00,9999-12-31,1,64
159,Reem Wa'il Abdalazem Abdalazem El-Bossaty,F,1993,167.0,60.0,5,2022-06-11 00:00:00,9999-12-31,1,65
160,Ali Abdalla Afringi,M,1983,163.0,57.0,2,2022-06-11 00:00:00,9999-12-31,1,66
165,Nia Nicole Abdallah,F,1984,175.0,56.0,5,2022-06-11 00:00:00,9999-12-31,1,67
171,Mahmoud Abdel Aziz,M,1975,174.0,70.0,3,2022-06-11 00:00:00,9999-12-31,1,68
172,Mohamed Abdel Ellah,M,1968,168.0,68.0,1,2022-06-11 00:00:00,9999-12-31,1,69
177,Mohamed Abdel Fattah,M,1977,174.0,69.0,5,2022-06-11 00:00:00,9999-12-31,1,70
180,Heba Abdel Gawad,F,1982,154.0,48.0,4,2022-06-11 00:00:00,9999-12-31,1,71
181,Sara Abdel Gawad,F,1982,153.0,46.0,4,2022-06-11 00:00:00,9999-12-31,1,72
184,Ragy Abdel Hady,M,1974,186.0,100.0,5,2022-06-11 00:00:00,9999-12-31,1,73
198,Walid Abdel Maksoud,M,1979,,,3,2022-06-11 00:00:00,9999-12-31,1,74
201,Karim Abdel Mohsen,M,1979,188.0,92.0,5,2022-06-11 00:00:00,9999-12-31,1,75
203,Ahmed Abdel Naeim,M,1985,197.0,87.0,1,2022-06-11 00:00:00,9999-12-31,1,76
212,Yasser Abdel Rahman Sakr,M,1978,180.0,120.0,4,2022-06-11 00:00:00,9999-12-31,1,77
213,Samy Abdel Razek,M,1980,170.0,60.0,1,2022-06-11 00:00:00,9999-12-31,1,78
215,Ibrahim Ahmed Abdel Rehim,M,1983,190.0,83.0,2,2022-06-11 00:00:00,9999-12-31,1,79
216,Kamal Abdel Rehim,M,1974,190.0,95.0,1,2022-06-11 00:00:00,9999-12-31,1,80
217,Reskalla Mohamed Abdel Rehim,M,1978,165.0,48.0,3,2022-06-11 00:00:00,9999-12-31,1,81
218,Ahmed Ali Abdel Samad,M,1973,195.0,95.0,4,2022-06-11 00:00:00,9999-12-31,1,82
225,Shaimaa Abdel-Latif-Hashad,F,1981,165.0,57.0,3,2022-06-11 00:00:00,9999-12-31,1,83
231,Mahmod Abdelaly,M,1967,,,3,2022-06-11 00:00:00,9999-12-31,1,84
232,Ibrahim Ramadan Ibrahim Abdelbaki,M,1988,173.0,77.0,2,2022-06-11 00:00:00,9999-12-31,1,85
233,Aziza Abdelfattah,F,1991,159.0,51.0,5,2022-06-11 00:00:00,9999-12-31,1,86
234,Abdalla Abdelgadir El-Sheikh,M,1987,170.0,58.0,2,2022-06-11 00:00:00,9999-12-31,1,87
236,Ragab Abdelhay Saad Abdelrazek Abdallah,M,1991,170.0,94.0,1,2022-06-11 00:00:00,9999-12-31,1,88
238,Mohamed Abdellah,M,1968,170.0,70.0,2,2022-06-11 00:00:00,9999-12-31,1,89
241,Sayed Abdelmonem Sayed Hamed,M,1989,170.0,60.0,1,2022-06-11 00:00:00,9999-12-31,1,90
243,Ihab Abdelrahman El-Sayed Abdelrahman,M,1989,194.0,96.0,1,2022-06-11 00:00:00,9999-12-31,1,91
244,Raouf Abdelraouf,M,1978,167.0,63.0,1,2022-06-11 00:00:00,9999-12-31,1,92
245,Abouelfetoh Abdelrazek,M,1987,,,1,2022-06-11 00:00:00,9999-12-31,1,93
249,Mouni Abderrahim,F,1986,173.0,60.0,4,2022-06-11 00:00:00,9999-12-31,1,94
250,Saeid Morad Abdevali,M,1990,170.0,80.0,5,2022-06-11 00:00:00,9999-12-31,1,95
252,Youcef Abdi,M,1978,178.0,66.0,4,2022-06-11 00:00:00,9999-12-31,1,96
256,"Abdihakim ""Abdi"" Abdirahman",M,1977,178.0,61.0,5,2022-06-11 00:00:00,9999-12-31,1,97
257,Ali Abdo,M,1981,169.0,74.0,1,2022-06-11 00:00:00,9999-12-31,1,98
258,Hamza Abdo,M,1991,,,5,2022-06-11 00:00:00,9999-12-31,1,99
262,Yhyacinthe Mewoli Abdon,M,1986,176.0,60.0,2,2022-06-11 00:00:00,9999-12-31,1,100
264,Justin Abdou,M,1971,175.0,85.0,2,2022-06-11 00:00:00,9999-12-31,1,101
266,Raouf Abdou,M,1982,165.0,60.0,5,2022-06-11 00:00:00,9999-12-31,1,102
275,Bashir Abdullah Abdul Aziz,M,1978,180.0,73.0,2,2022-06-11 00:00:00,9999-12-31,1,103
276,Chairil Anwar Abdul Aziz,M,1972,163.0,61.0,4,2022-06-11 00:00:00,9999-12-31,1,104
277,Shaimaa Abdul Aziz,F,1981,160.0,53.0,4,2022-06-11 00:00:00,9999-12-31,1,105
279,Jefri Kiko Bolkiah Abdul Hakeem,M,1973,172.0,90.0,4,2022-06-11 00:00:00,9999-12-31,1,106
280,Mohamed Abdul Hamid,M,1981,175.0,55.0,1,2022-06-11 00:00:00,9999-12-31,1,107
290,Fatima Abdul Majeed Hameed Al-Kirashi,F,1986,,,5,2022-06-11 00:00:00,9999-12-31,1,108
299,Dana Abdul Razak (Hussain-),F,1986,163.0,56.0,3,2022-06-11 00:00:00,9999-12-31,1,109
310,Patmawati Abdul Wahid,F,1972,158.0,58.0,4,2022-06-11 00:00:00,9999-12-31,1,110
311,Haidar Abdul-Amir Hassan,M,1983,185.0,80.0,4,2022-06-11 00:00:00,9999-12-31,1,111
312,Haidar Abdul-Razzaq Hassan,M,1982,175.0,75.0,2,2022-06-11 00:00:00,9999-12-31,1,112
314,"Rukayatu ""Ruky"" Abdulai",F,1986,180.0,59.0,2,2022-06-11 00:00:00,9999-12-31,1,113
315,Mona Ahmad Abdulaziz Hassanein,F,1986,166.0,61.0,2,2022-06-11 00:00:00,9999-12-31,1,114
318,Ahmed Abdulkareem Ahmed,M,1992,,,4,2022-06-11 00:00:00,9999-12-31,1,115
321,Ahmad Hassan Abdullah,M,1981,164.0,55.0,1,2022-06-11 00:00:00,9999-12-31,1,116
323,Aquil Hashim Abdullah (Shumate-),M,1973,187.0,83.0,1,2022-06-11 00:00:00,9999-12-31,1,117
331,Wan Azlan Abdullah,M,1975,188.0,77.0,3,2022-06-11 00:00:00,9999-12-31,1,118
336,Arif Yadulla Abdullayev,M,1968,164.0,60.0,1,2022-06-11 00:00:00,9999-12-31,1,119
337,Mukhammad Kadyr Abdullayev,M,1974,169.0,63.0,4,2022-06-11 00:00:00,9999-12-31,1,120
338,Muminzhon Abdullayev,M,1990,190.0,130.0,2,2022-06-11 00:00:00,9999-12-31,1,121
339,Namiq Yadulla Abdullayev,M,1971,167.0,55.0,4,2022-06-11 00:00:00,9999-12-31,1,122
340,Laye Abdullayeva,F,1991,170.0,47.0,5,2022-06-11 00:00:00,9999-12-31,1,123
341,lqar Abdulov,M,1981,175.0,74.0,4,2022-06-11 00:00:00,9999-12-31,1,124
343,Abir Abdulrahman Khalil Mahmoud Khalil,F,1992,162.0,72.0,2,2022-06-11 00:00:00,9999-12-31,1,125
344,Amer Abdulrahman Abdallah Hussain Al-Hammadi,M,1989,168.0,68.0,3,2022-06-11 00:00:00,9999-12-31,1,126
345,Omar Abdulrahman Ahmad Al-Raaqi Al-Amoudi,M,1992,168.0,62.0,5,2022-06-11 00:00:00,9999-12-31,1,127
